symbol,name,industry,score,scoreValue,scoreQuality,scoreGrowth,scoreSafety,scoreBonus,dataCoverage,price,peRatio,pbRatio,roe,netMargin,revenueGrowth,netIncomeGrowth,debtEquity,dividendYield,dollarVolume,analystRating,priceTarget,upsidePct,lastTradeDate
CSAG,Canal Shipping Agencies Company,Water Transportation,58.3,34.4,68.8,62.3,18.3,9.0,4/4,41.05,10.32,6.83135,69.47,684.93,46.248,5.089,,7.43,41071018,n/a,,,2026-08-20
CEFM,Middle Egypt Flour Mills,Miscellaneous Food Preparations And Kindred Products,57.1,52.0,61.4,35.6,46.6,7.2,4/4,151.05,16.51,4.74518,28.74,14.11,12.45,-1.841,,3.54,31408884,n/a,,,2026-08-20
PRDC,Pioneers Properties For Urban Development - PRE Group,Real Estate,56.4,77.8,17.9,92.3,30.4,0,4/4,9.05,15.47,0.67013,6.15,9.01,39.913,470.355,0.873,,63517316,n/a,,,2026-08-20
ROTO,Rowad Tourism Company,Hotels and Motels,56.3,45.5,30.5,84.6,82.0,0,4/4,48.07,23.95,3.1213,16.58,15.83,47.264,,0.14,,15351683,n/a,,,2026-08-20
SWDY,El Sewedy Electric Company,Drawing and Insulating of Nonferrous Wire,55.8,67.9,44.2,54.1,48.3,1.4,4/4,116,15.5,3.32365,28.52,5.08,26.627,4.725,1.111,0.85,75386660,Hold,95.5,-17.67,2026-08-20
EASB,Egyptian Arabian Company (Themar) for securities Brokerage EAC,"Security Brokers, Dealers, and Flotation Companies",55.7,28.4,67.7,58.8,49.0,4.9,4/4,7.18,29.0,4.67175,21.32,47.51,16.986,30.078,0.163,1.82,6242249,n/a,,,2026-08-20
OFH,O B Financial Holding S.A.E,"Security and Commodity Brokers, Dealers, Exchanges, and Services",55.1,87.9,7.4,,85.0,0,3/4,0.914,51.36,1.35542,5.33,,,,0.001,,60249610,n/a,,,2026-08-20
ELSH,Al-Shams Company for Housing and Urban Development,Real Estate,54.0,41.8,60.1,52.8,61.6,1.0,4/4,13.32,18.26,2.5842,15.04,68.54,29.907,3.469,0.118,0.38,41036416,n/a,,,2026-08-20
ASCM,"ASEC Company for Mining ASCOM, S.A.E",Metal Mining,53.9,84.2,28.6,77.7,3.9,0,4/4,63.9,9.58,1.30265,13.72,8.16,40.289,,1.721,,29259682,n/a,,,2026-08-20
MTIE,MM Group for Industry and International Trade S.A.E.,Wholesale Trade-Durable Goods,53.7,61.5,49.7,46.3,41.7,2.5,4/4,8.46,18.95,3.65656,27.37,4.47,19.22,3.587,0.055,,26066537,Buy,8.38,-0.95,2026-08-20
GSSC,General Co. For Silos & Storage,Farm-product Raw Materials,52.5,40.3,50.1,69.8,23.1,4.4,4/4,283.06,30.92,5.53497,39.21,8.3,33.777,24.145,0.733,1.49,9324279,n/a,,,2026-08-20
NINH,Nozha International Hospital,Hospitals,52.3,19.0,68.0,70.7,51.3,0.8,4/4,21.71,40.4,9.08214,26.98,30.68,21.522,48.043,0.001,0.33,16069503,n/a,,,2026-08-20
TAQA,TAQA Arabia S.A.E.,"Petroleum and Petroleum Products Wholesalers, Except Bulk Stations and Terminals",52.0,65.6,41.3,78.3,2.2,0,4/4,15.1,15.73,3.77019,30.99,4.34,30.005,52.367,2.625,,36052669,n/a,,,2026-08-20
KRDI,AlKhair River for Development Agricultural Investment and Environmental Services,Agricultural Production Crops,52.0,64.9,33.3,50.6,65.7,0,4/4,0.457,22.64,1.50922,10.45,8.53,99.713,-22.245,0.683,,88755661,n/a,,,2026-08-20
LCSW,Lecico Egypt (S.A.E.),Pottery And Related Products,51.0,89.4,30.3,26.6,56.2,0,4/4,33.6,9.31,1.13123,9.83,3.35,18.511,-37.129,1.161,,17520653,n/a,,,2026-08-20
PHDC,Palm Hills Developments S.A.E.,"Land Subdividers and Developers, Except Cemeteries",50.7,74.6,36.3,50.1,7.9,3.7,4/4,15.15,11.33,2.1312,21.8,10.45,26.565,2.365,1.588,0.65,137816005,Strong Buy,17.46,15.25,2026-08-20
GTWL,Golden Textiles & Clothes Wool,Textile Mill Products,50.5,44.8,37.9,65.0,62.7,0,4/4,205,29.34,3.02309,12.03,11.37,22.972,25.456,0.802,,395731795,n/a,,,2026-08-20
ELKA,Cairo for Housing and Development Company (S.A.E),Real Estate,49.8,76.5,51.2,10.0,60.0,0,4/4,1.71,3.21,0.5204,17.55,206.35,-4.394,,0.124,,38653575,n/a,,,2026-08-20
GBCO,GB Corp,Motor Vehicles and Passenger Car Bodies,49.5,85.6,22.5,38.1,14.6,5.3,4/4,29.32,12.99,0.90603,6.94,2.64,31.45,-30.489,1.333,1.17,40612598,Buy,37.7,28.58,2026-08-20
NIPH,EI- Nile Co. for Pharmaceuticals and Chemical Industries,Pharmaceutical Preparations,49.3,17.1,57.6,91.5,17.5,1.4,4/4,332,70.8,15.40558,26.02,10.72,113.769,159.601,1.227,0.59,219620656,n/a,,,2026-08-20
ZEOT,Extracted Oil & Derivatives Co.,Fats And Oils,49.3,43.1,17.3,73.8,73.7,1.7,4/4,13.77,60.11,9.26041,16.62,1.0,37.473,,0.097,0.63,7964114,n/a,,,2026-08-20
ACGC,Arabia Cotton Ginning Company,Textile Mill Products,48.7,80.9,33.0,13.0,75.3,0,4/4,13.69,10.9,1.16313,14.41,11.75,-19.872,-24.417,0.35,,59593569,n/a,,,2026-08-20
PHAR,Egyptian International Pharmaceutical Industries Company,Pharmaceutical Preparations,48.6,56.0,48.5,45.8,16.6,3.3,4/4,131.5,16.89,3.57695,20.51,12.55,12.078,8.332,1.651,1.16,240899584,n/a,,,2026-08-20
MOIN,Mohandes Insurance Company,Insurance Carriers,48.6,38.6,53.3,31.7,77.0,1.5,4/4,34.74,23.91,4.561,21.18,22.62,9.542,-7.429,0.006,0.61,19031996,n/a,,,2026-08-20
TALM,Taaleem Management Services Company S.A.E.,Educational Services,47.1,41.9,54.1,43.6,49.6,0,4/4,19.7,23.52,3.59473,13.84,24.94,32.452,-15.892,0.622,,31075529,n/a,,,2026-08-20
SCFM,South Cairo and Giza Flour Mills and Bakeries Company,Bakery Products,46.1,26.0,44.6,86.2,22.1,0,4/4,283.01,24.07,29.20941,,19.44,49.429,,,,17306628,n/a,,,2026-08-20
EMFD,Emaar Misr for Development Company (S.A.E.),"Land Subdividers and Developers, Except Cemeteries",45.6,74.4,38.4,15.0,53.1,0,4/4,11.81,9.68,0.89551,10.53,30.8,-5.962,-38.438,0.052,,49942659,n/a,,,2026-08-20
AMER,Amer Group Holding Company S.A.E.,Real Estate,45.0,48.1,29.6,76.0,18.2,0,4/4,5.74,32.22,2.33923,15.59,9.97,16.779,276.011,0.922,,71394522,n/a,,,2026-08-20
IFAP,International Company for Agricultural Crops,Food and Kindred Products,44.2,49.3,32.5,47.3,52.2,0,4/4,20.55,19.77,2.34549,14.79,17.94,40.985,-10.717,0.104,,10219926,n/a,,,2026-08-20
OCPH,October Pharma S.A.E,Pharmaceutical Preparations,43.9,27.0,61.8,53.7,25.4,0,4/4,248.3,37.09,9.22438,28.29,11.31,22.508,11.727,0.64,,9020491,n/a,,,2026-08-20
SMFR,Samad Misr EGYFERT.S.A.E,Agricultural Chemicals,43.4,46.7,24.5,29.5,70.0,4.2,4/4,261.9,37.63,1.23064,5.05,18.31,20.569,-35.013,0.005,1.42,7723693,n/a,,,2026-08-20
NARE,Naeem Real Estate Holding Group,Engineering Services,43.1,55.0,45.2,21.2,52.0,0,4/4,16.99,20.1,0.88002,6.16,39.67,-3.547,-12.113,0.006,,5733004,n/a,,,2026-08-20
GPIM,GPI for Urban Growth,"Land Subdividers and Developers, Except Cemeteries",42.9,9.4,38.7,61.4,87.2,0,4/4,1.29,201.5,11.22978,8.33,24.45,153.296,4.419,0.002,,12670256,n/a,,,2026-08-20
UEGC,"El-Saeed Company for Contracting and Real Estate Investment ""SCCD"" (S.A.E.)",Heavy Construction Other Than Building Construction Contractors,42.9,70.4,24.7,28.0,49.1,0,4/4,2.09,34.61,1.0861,4.28,1.94,24.004,-46.203,1.235,,34649274,n/a,,,2026-08-20
