symbol,name,industry,score,scoreValue,scoreQuality,scoreGrowth,scoreSafety,scoreBonus,dataCoverage,price,peRatio,pbRatio,roe,netMargin,revenueGrowth,netIncomeGrowth,debtEquity,dividendYield,dollarVolume,analystRating,priceTarget,upsidePct,lastTradeDate
AMES,Alexandria New Medical Center,"Miscellaneous Health And Allied Services, Not Elsewhere Classified",30.5,3.6,50.1,56.6,1.5,0,4/4,149.6,357.92,64.65265,19.86,10.88,17.862,19.089,,,174040152,n/a,,,2026-08-20
SNFC,Sharkia National Company for Food Security,Grain Mill Products,29.7,1.5,16.8,55.2,69.5,0,4/4,11.1,866.09,38.80102,4.12,11.66,31.373,5.828,,,9245368,n/a,,,2026-08-20
KWIN,El Kahera El Watania Investment,"Investors, not elsewhere classified",29.4,17.7,41.2,29.5,29.1,0,4/4,102.28,240.61,5.21786,10.11,15.83,38.788,-79.132,0.398,,199329605,n/a,,,2026-08-20
UNIP,Universal For Paper and Packaging Materials,"Converted Paper And Paperboard Products, Except Containers And Boxes",28.2,64.4,1.5,4.5,48.5,0,4/4,0.36,48.26,1.7052,,1.15,-8.265,-78.363,1.205,,51014232,n/a,,,2026-08-20
EEII,Arab Engineering Industries,Refrigeration And Service Industry Machinery,25.9,32.4,15.9,5.3,67.1,0,4/4,3.04,181.57,3.80534,2.49,2.04,-18.529,-78.542,0.465,,39559307,n/a,,,2026-08-20
AMII,Arabian Metal Industries and Industrial Investments,Miscellaneous Fabricated Metal Products,24.6,16.9,12.0,20.9,71.6,0,4/4,15.18,2336.4,8.92595,0.38,0.26,27.932,-88.945,0.484,,194480392,n/a,,,2026-08-20
EALR,Arab Company For Land Reclamation,Heavy Construction Other Than Building Construction Contractors,21.3,6.1,10.9,16.5,80.4,0,4/4,394.03,514.31,29.33405,5.57,2.6,9.624,-58.093,0.079,,17728592,n/a,,,2026-08-20
MEPA,Medical Packaging Company,"Converted Paper And Paperboard Products, Except Containers And Boxes",20.9,20.8,19.8,6.9,46.4,0,4/4,1.81,114.68,5.44145,4.86,10.61,-26.512,-74.541,0.112,,12697425,n/a,,,2026-08-20
CAED,Cairo Educational Services SAE,Educational Services,20.7,7.1,23.0,25.3,16.8,2.8,4/4,168.01,308.98,22.80303,7.54,4.45,18.851,-48.143,,0.9,51130987,n/a,,,2026-08-20
CRST,Creast Mark For Contracting And Real Estate Development,"Water, Sewer, Pipeline, and Communications and Power Line Construction",20.0,7.9,26.1,6.4,54.8,0,4/4,3.26,115.69,12.6895,5.19,20.14,-58.0,-67.51,0.049,,233245926,n/a,,,2026-08-20
KABO,El-Nasr Clothing & Textiles Co. (KABO),Apparel and Other Finished Products Made From Fabrics and Similar Materials,19.5,26.8,3.8,18.7,37.5,0,4/4,9.05,163.4,4.94836,2.36,2.3,21.364,-80.102,0.485,,76642939,n/a,,,2026-08-20
IDRE,Ismailia Development and Real Estate Co,"Land Subdividers and Developers, Except Cemeteries",19.2,3.8,31.4,0.6,56.5,0,4/4,52.5,1471.93,12.61092,0.85,54.13,-81.247,-88.224,,,6038655,n/a,,,2026-08-20
AFDI,Al Ahly for Development & Investment,"Security and Commodity Brokers, Dealers, Exchanges, and Services",16.6,29.3,13.5,5.6,16.1,0,4/4,62.53,267.5,3.47766,1.67,2.49,-3.534,-86.984,2.917,,10993087,n/a,,,2026-08-20
CCRS,Gulf Canadian Company for Arab Real Estate Investment,Real Estate,12.5,22.4,2.4,,13.0,0,3/4,2.41,263.16,4.76032,2.89,,,,,,6407481,n/a,,,2026-08-20
