symbol,name,industry,price,marketCap,volume,dollarVolume,lastTradeDate,peRatio,forwardPE,pbRatio,psRatio,pegRatio,earningsYield,eps,epsGrowth,revenue,revenueGrowth,netIncome,netIncomeGrowth,netMargin,roe,roa,debtEquity,netDebtEquity,dividendYield,payoutRatio,beta,analystRating,analystCount,priceTarget,upsidePct,ch1y,price1m,price3m,price6m,priceYTD,week52High,week52Low,earningsDate,exDividendDate
MBSC,Misr Beni Suef Cement Co. S.A.E,"Cement, Hydraulic",377.02,19820000000.0,85314,32165084,2026-09-15,5.6,7.9,4.17742,3.28974,,17.44,67.32,200.57,6020000000.0,12.664,3460000000.0,171.3,57.48,121.81,35.1,0.029,-0.671,1.38,20.55,0.39,Hold,2,396.35,5.13,150.96,381.52,274.9,274.98,267.01,470,147.26,"Nov 12, 2026","Jun 16, 2026"
EFIC,Egyptian Financial and Industrial SAE,Agricultural Chemicals,194,19400000000.0,411778,79884932,2026-09-15,64.65,,6.244,1.61363,,1.55,3.0,-81.055,12020000000.0,18.846,300060000.0,-74.358,2.5,12.56,11.55,2.675,2.543,1.88,249.45,-0.28,n/a,,,,7.37,225.3,204.55,218.8,223.42,260,162.3,"Nov 26, 2026","Apr 28, 2026"
MTIE,MM Group for Industry and International Trade S.A.E.,Wholesale Trade-Durable Goods,8.32,18850000000.0,1829130,15218362,2026-09-15,18.51,10.85,3.57072,0.82627,,5.4,0.45,4.626,22820000000.0,19.22,1020000000.0,3.587,4.47,27.37,10.54,0.055,-0.192,,21.45,1.06,Buy,2,8.38,0.72,56.19,9.57,7.542,6.5,6,10.4,5.008,"Nov 18, 2026",n/a
UBEE,The United Bank,Commercial Banks,16.58,18240000000.0,429247,7116915,2026-09-15,10.53,6.38,1.01576,2.90474,,9.49,1.57,-38.301,6280000000.0,-0.644,1730000000.0,-30.76,27.55,13.07,2.07,0.379,-0.772,5.17,60.32,,n/a,,,,19.45,14.82,14,13.59,14.75,19.08,12.4,"Nov 12, 2026","Jun 22, 2026"
POUL,Cairo Poultry Company S.A.E.,Poultry Slaughtering and Processing,37.99,18200000000.0,647287,24590433,2026-09-15,8.29,9.31,2.22141,1.14091,,12.06,4.58,-19.421,15950000000.0,0.556,2190000000.0,-15.453,13.73,34.88,11.09,0.037,-0.479,0.82,23.89,0.37,n/a,,,,88.07,39.3,35,32,25.75,41.96,19.54,"Nov 11, 2026","Apr 27, 2026"
ORWE,Oriental Weavers Carpets Company (S.A.E),"Home Furniture, Furnishings, and Equipment Stores",26.56,17670000000.0,801030,21275357,2026-09-15,8.83,9.95,0.81141,0.63184,,11.32,3.01,3.022,27960000000.0,7.224,2000000000.0,53.56,7.15,15.06,5.34,0.387,-0.052,4.67,38.34,-0.03,Buy,2,32.1,20.86,22.96,26.11,23.22,22.88,23.25,29.41,20.8,"Nov 16, 2026","May 18, 2026"
EGTS,Egyptian Resorts Company (S.A.E),"Hotels, Rooming Houses, Camps, and Other Lodging Places",16.61,17440000000.0,451685,7502488,2026-09-15,,,30.48887,16.28027,,-0.69,-0.11,,1070000000.0000001,11.753,-120080000.0,,-11.22,-19.14,-5.35,,-1.973,,,1.03,n/a,,,,101.09,18.72,18.4,7.29,8.15,22.69,6.68,"Sep 15, 2026",n/a
EGSA,The Egyptian Satellite Company Nilesat,"Communications Services, Not Elsewhere Classified",9,17410000000.0,1106,9954,2026-09-15,6.6,,0.51528,3.61363,,14.36,66.99,-18.366,4820000000.0,-0.94,2500000000.0,-15.77,51.87,8.57,2.83,,-0.44,6.14,36.55,0.0,n/a,,,,29.5,8.66,8.74,6.99,6.83,9.21,6.5,"Nov 9, 2026","May 18, 2026"
AMOC,Alexandria Mineral Oils Company,Petroleum Refining,13.08,16890000000.0,4430282,57948089,2026-09-15,11.47,5.55,4.00727,0.42255,,8.72,1.14,12.946,39980000000.0,12.273,1470000000.0,-1.2,3.68,33.29,,0.007,-0.804,5.93,70.35,0.02,Buy,3,11.68,-10.7,76.04,10.3,7.9,9.12,6.93,14.63,6.66,"Dec 9, 2026","Apr 20, 2026"
MASR,Madinet Masr For Housing and Development,"Land Subdividers and Developers, Except Cemeteries",7.88,16820000000.0,10320475,81325343,2026-09-15,5.8,6.2,1.29752,1.39558,,17.23,1.36,3.901,12060000000.0,37.391,2900000000.0,3.793,24.05,29.34,6.31,0.547,-0.003,1.88,,0.68,Strong Buy,3,11.54,46.45,93.61,7.62,6.96,5.58,4.061,8.95,3.85,"Nov 11, 2026","May 20, 2026"
TALM,Taaleem Management Services Company S.A.E.,Educational Services,22.9,16809999999.999998,13514859,309490271,2026-09-15,27.34,26.32,4.17865,6.82604,,3.65,0.84,-17.931,2460000000.0,32.452,613610000.0,-15.892,24.94,13.84,8.82,0.622,0.54,,7.47,0.22,n/a,,,,116.45,19,16.11,15.17,15.48,25.7,10.45,"Oct 29, 2026",n/a
SAUD,alBaraka Bank Egypt S.A.E.,Commercial Banks,23.05,16760000000.000002,607033,13992111,2026-09-15,4.99,,1.03625,1.95853,,20.05,4.62,7.532,8560000000.000001,16.225,3360000000.0,7.156,39.25,26.19,2.67,0.412,-0.599,3.58,32.91,0.33,Buy,2,19.7,-14.53,78.13,23.51,21.53,18.32,15.39,25.1,12.15,"Nov 10, 2026","Apr 14, 2026"
MOIL,Maridive and Oil Services S.A.E.,Oil and Gas Field Exploration Services,0.67,16329999999.999998,281037,188295,2026-09-15,5.18,,1.05924,1.14929,,20.35,7.06,226.03,14200000000.0,21.276,3320000000.0,216.004,23.38,43.54,11.27,0.899,0.452,,,0.69,n/a,,,,87.68,0.674,0.475,0.439,0.469,0.694,0.343,"Sep 17, 2026",n/a
NIPH,EI- Nile Co. for Pharmaceuticals and Chemical Industries,Pharmaceutical Preparations,314,15700000000.0,311708,97876312,2026-09-15,65.38,,14.22667,7.01158,,1.53,4.8,55.761,2240000000.0,113.769,240130000.0,159.601,10.72,26.02,14.09,1.227,1.207,0.58,28.43,0.7,n/a,,,,292.45,410.02,163.6,96.91,100.22,516.96,75.01,"Sep 16, 2026","Oct 29, 2025"
ATQA,Misr National Steel - Ataqa,"Steel Works, Blast Furnaces, And Rolling And Finishing Mills",12.5,15000000000.0,5206940,65086750,2026-09-15,,,6.29007,2.71375,,-0.41,-0.05,,5530000000.0,-14.148,-61200000.0,,-1.11,-2.53,1.85,0.149,-0.43,,,0.02,n/a,,,,13.74,10.89,9.45,8.33,10.07,13.25,7.75,"Nov 12, 2026",n/a
KORA,Korra for Energy and Investment Projects (S.A.E.),Electrical Work,6.65,14960000000.0,98405498,654396562,2026-09-15,,,,,,,,,,,,,,,,,,,,,n/a,,,,3225.0,3.33,3.6,0.2,0.2,7.87,3.3,n/a,n/a
MHOT,Misr Hotels Company,Hotels and Motels,17.92,14190000000.0,277099,4965614,2026-09-15,13.02,,3.80518,7.10443,,7.68,1.38,255.226,2000000000.0,7.854,1090000000.0,4.409,54.5,43.24,24.07,0.249,-0.431,4.03,54.49,0.51,n/a,,,,37.74,18.69,14.7,12.95,12.87,21.4,11.03,"Sep 17, 2026","Sep 29, 2025"
EGBE,Egyptian Gulf Bank (S.A.E),Commercial Banks,0.51,13770000000.0,165636,84474,2026-09-15,3.25,,0.94243,1.15772,,29.18,7.71,50.244,11890000000.0,38.799,4019999999.9999995,58.962,33.81,36.97,3.19,0.098,-0.273,2.15,19.26,0.24,n/a,,,,101.9,0.548,0.44,0.3789,0.3035,0.579,0.2418,"Nov 12, 2026","Jul 13, 2026"
ISPH,Ibnsina Pharma,"Drugs, Drug Proprietaries, and Druggists' Sundries",12.58,12680000000.0,3697672,46516714,2026-09-15,14.57,10.33,4.04192,0.1527,0.31311,6.86,0.86,37.441,83040000000.0,21.99,870320000.0,37.441,1.05,38.93,5.84,8.809,8.485,1.24,31.93,0.73,Strong Buy,3,17.26,37.2,18.46,13.55,12.01,10.5,11.72,16.93,9.63,"Nov 12, 2026","Apr 27, 2026"
AMES,Alexandria New Medical Center,"Miscellaneous Health And Allied Services, Not Elsewhere Classified",51.61,12620000000.0,3425350,176782314,2026-09-15,119.93,,42.52896,25.61453,,0.42,0.43,19.089,492800000.0,17.862,53610000.0,19.089,10.88,19.86,9.63,0.07,-0.076,0.11,,1.28,n/a,,,,26.71,120.78,49.63,47.88,55.11,173.78,36.52,"Nov 11, 2026",n/a
CICH,CI Capital Holding For Financial Investments (S.A.E),Miscellaneous business Credit Institutions,12.47,12470000000.0,178409,2224760,2026-09-15,7.01,,1.55285,2.49651,,14.26,1.78,2.319,4990000000.0,16.157,1780000000.0,2.319,35.67,21.54,4.18,3.843,3.381,2.68,39.86,0.42,n/a,,,,78.14,12.62,11.55,10.98,9.1,13.99,6.6,"Nov 12, 2026","Sep 22, 2026"
RMDA,Tenth of Ramadan for Pharmaceutical Industries and Diagnostic Reagents (Rameda) (S.A.E),Pharmaceutical Preparations,6.11,12420000000.0,7660145,46803486,2026-09-15,41.01,18.27,5.23119,2.83065,0.5894,2.42,0.15,-27.497,4390000000.0,22.686,301010000.0,-24.668,6.86,14.95,11.91,1.017,0.973,0.68,70.47,0.45,Buy,6,5.75,-5.89,92.08,6.49,5.22,4.71,3.33,7.39,3.037,"Nov 12, 2026","Jun 2, 2026"
BINV,B Investments Holding S.A.E.,"Investors, not elsewhere classified",51.98,11350000000.0,46846,2435055,2026-09-15,18.31,,1.6484,14.17177,,5.46,2.84,-9.07,800920000.0,0.275,619770000.0,-7.558,77.38,8.74,5.27,0.003,-0.407,3.03,0.97,0.51,n/a,,,,81.75,49.24,47.5,40.2,37,55,27.89,n/a,"Jul 21, 2026"
OIH,Orascom Investment Holding S.A.E.,Diversified Multi-Media,2.15,11280000000.0,56444955,121356653,2026-09-15,,,5.5124,8.09135,,-4.73,-0.1,,1390000000.0,189.601,-533780000.0,,-38.4,-20.72,-2.02,3.121,1.066,,,0.54,n/a,,,,67.97,1.83,1.41,1.22,1.18,2.17,0.98,"Dec 14, 2026",n/a
CSAG,Canal Shipping Agencies Company,Water Transportation,37.04,11110000000.0,388000,14371520,2026-09-15,9.8,10.29,6.48803,67.35503,,10.21,3.78,5.089,164980000.0,46.248,1130000000.0,5.089,684.93,69.47,1.45,,-0.523,6.9,132.41,0.68,n/a,,,,24.17,41.95,31.29,28.7,34.86,44.45,25.7,"Sep 28, 2026","Dec 18, 2025"
IFAP,International Company for Agricultural Crops,Food and Kindred Products,20.38,10130000000.0,573094,11679656,2026-09-15,19.43,,2.30478,3.92169,,4.57,1.05,-24.933,2580000000.0,40.985,462950000.0,-10.717,17.94,14.79,0.23,0.104,-0.03,0.58,,0.42,n/a,,,,-12.23,21.86,19.49,18.87,18.85,23.99,16.35,"Sep 3, 2026",n/a
MIPH,MINAPHARM Pharmaceuticals,Pharmaceutical Preparations,813.48,9580000000.0,2709,2203717,2026-09-15,28.26,,1.39808,1.44121,,3.32,28.78,,6650000000.0,6.865,318480000.0,,4.79,6.41,4.74,0.726,0.194,0.31,17.23,0.36,n/a,,,,213.81,773.73,658.46,465.18,349.2,831,246.01,"Dec 2, 2026","Aug 12, 2026"
MOIN,Mohandes Insurance Company,Insurance Carriers,36.66,9530000000.0,1433731,52560578,2026-09-15,25.24,,4.81308,5.70653,,3.96,1.45,-7.429,1670000000.0,9.542,377700000.0,-7.429,22.62,21.18,5.6,0.006,-0.109,0.57,8.71,0.23,n/a,,,,96.28,34,24.99,22.85,23.408,45.99,17.346,"Aug 26, 2026",n/a
MPCI,Memphis Pharmaceuticals & Chemical Industries,Pharmaceutical Preparations,405.5,9230000000.0,260297.99999999997,105550839,2026-09-15,17.78,,12.99841,5.50619,,5.63,22.81,-65.932,1680000000.0,36.209,518980000.0,37.787,30.89,95.06,22.6,0.118,-0.48,3.1,37.97,0.18,n/a,,,,187.59,381,222.75,162.32,156.2,490.86,130,"Sep 22, 2026","Oct 27, 2025"
ZMID,Zahraa El Maadi Investment and Development Company SAE,Real Estate,9.16,9160000000.0,13584728,124436108,2026-09-15,13.29,,3.47478,8.32874,,7.52,0.69,26.747,1100000000.0,40.342,689100000.0,33.228,62.65,35.2,19.33,,-0.144,2.65,23.83,0.41,n/a,,,,118.62,7.68,6.24,5.45,5.74,9.95,4.03,"Nov 12, 2026","Apr 28, 2026"
AMIA,Arab Moltaqa Investments Company,"Investors, not elsewhere classified",17.51,8940000000.0,458419,8026917,2026-09-15,24.23,,4.08211,3.60187,,4.13,0.72,41.823,2480000000.0,8.101,368990000.0,49.652,14.88,24.66,3.32,3.251,2.954,0.72,,0.33,n/a,,,,450.63,12.99,9.13,5.43,4.83,22.4,2.98,n/a,"Apr 8, 2026"
OLFI,Obour Land for Food Industries S.A.E.,Dairy Products,22.32,8930000000.0,328626,7334932,2026-09-15,11.94,9.3,5.72252,0.73716,0.71538,8.38,1.87,-12.663,12110000000.0,13.319,748050000.0,-9.17,6.18,56.54,18.55,2.655,2.539,7.85,100.41,0.44,Buy,5,27.28,22.22,9.04,25.1,22.64,21.4,24.99,26.52,19.35,"Oct 14, 2026","Mar 24, 2026"
SUGR,Delta Sugar Company,Sugar And Confectionery Products,61.54,8750000000.0,416780,25648641,2026-09-15,,13.38,3.20558,0.95809,,-15.9,-9.78,,9130000000.0,0.099,-1390000000.0,,-15.22,-47.21,-137.72,2.268,1.944,4.17,,-0.1,n/a,,,,17.96,49.36,48.95,47.49,47.19,64.44,43.5,"Nov 12, 2026",n/a
PHTV,Pyramisa Hotels & Resorts,Hotels and Motels,368.82,8740000000.0,9770,3603371,2026-09-15,10.49,,3.29573,2.69945,,9.95,35.15,-9.538,3240000000.0,40.248,869900000.0,24.127,26.85,43.09,13.44,0.024,-0.762,1.14,29.26,1.33,n/a,,,,120.82,390,205.08,184,174.06,447.99,165,"Nov 12, 2026","May 11, 2026"
MPRC,Egyptian Media Production City,Motion Picture and Video Tape Production,38.41,8640000000.0,555533,21338023,2026-09-15,8.53,,1.84037,6.27535,,9.88,4.5,52.581,1380000000.0,13.198,853910000.0,39.565,61.88,22.68,9.13,0.013,-0.417,1.16,8.23,0.8,n/a,,,,6.67,46.1,32.29,26.47,28.5,52.49,24.05,"Nov 26, 2026","Jul 29, 2025"
ISMQ,Iron & Steel for Mines & Quarries,Metal Mining,8.75,8550000000.000001,2264890,19817788,2026-09-15,17.19,,12.16789,8.14076,,5.79,0.51,15.058,1050000000.0,18.286,495280000.0,11.385,47.17,72.38,36.73,,-0.8,4.49,82.53,-0.35,n/a,,,,34.2,9.4,8.37,7.22,7.03,10.18,5.96,"Sep 16, 2026","Oct 14, 2025"
AXPH,Alexandria Co. For Pharmaceuticals & Chemical Industries,Pharmaceutical Preparations,1683.95,8420000000.0,4415,7434639,2026-09-15,16.87,,7.75576,2.70089,,5.93,99.8,43.306,3120000000.0,24.945,499000000.0,43.306,15.99,49.3,24.71,0.006,-0.377,3.72,59.93,0.17,n/a,,,,138.89,1305.43,1119.18,795.64,800.37,1768,651,"Sep 17, 2026","Nov 4, 2025"
BONY,Bonyan for Development and Trade,Real Estate Operators (except Developers) And Lessors,4.46,8359999999.999999,8529433,38041271,2026-09-15,4.12,3.28,0.6386,8.63493,,24.13,1.08,-14.078,968370000.0,11.885,2020000000.0,-6.545,208.6,16.72,1.58,0.087,0.06,,,,Strong Buy,2,6.27,40.58,29.09,4.62,4.955,3.509,3.491,5.409,3.136,"Nov 24, 2026",n/a
PRDC,Pioneers Properties For Urban Development - PRE Group,Real Estate,7.8,8150000000.0,1496241,11670680,2026-09-15,13.23,,0.57314,1.20007,,7.5,0.59,464.611,6790000000.0,39.913,611500000.0,470.355,9.01,6.15,0.89,0.873,0.654,,32.19,0.41,n/a,,,,143.75,8.83,6.42,4.14,4.35,10.4,3.04,"Aug 26, 2026",n/a
EGAS,Egypt Gas Company SAE,Natural Gas Transmission and Distribution,56,8080000000.0,101886,5705616,2026-09-15,23.91,,1.61546,0.79981,,4.18,2.34,4.593,10100000000.0,24.668,337760000.0,4.461,3.34,7.21,-1.63,0.225,0.187,0.85,29.25,0.53,n/a,,,,24.44,59.07,52,42.45,44.26,67.7,39,"Sep 20, 2026","May 4, 2026"
CPCI,Kahira Pharmaceuticals & Chemical Industries Company,Pharmaceutical Preparations,532.43,7950000000.0,2353,1252808,2026-09-15,15.76,,6.84601,3.32288,,6.34,33.78,25.161,2390000000.0,30.298,504490000.0,25.161,21.11,47.65,18.83,0.145,0.081,3.08,42.07,0.27,n/a,,,,132.48,534.19,360.96,252.1,265.08,644,215.5,"Sep 17, 2026","Nov 12, 2025"
NAPR,National Printing Company S.A.E.,Paperboard Containers And Boxes,35.09,7560000000.0,373455,13104536,2026-09-15,28.88,,2.56225,0.99724,,3.42,1.21,-27.072,7580000000.0,2.245,258430000.0,-26.722,3.41,12.62,9.57,1.214,1.037,,97.03,-2.27,n/a,,,,59.5,29.99,25.17,21.07,21.57,43.2,18,"Sep 21, 2026",n/a
DOMT,Arabian Food Industries Company (DOMTY) - S.A.E,Food and Kindred Products,26.53,7500000000.0,377474,10014385,2026-09-15,42.09,,4.92652,0.77311,,2.38,0.63,-38.441,9700000000.0,5.466,178130000.0,-38.657,1.84,13.95,9.88,1.558,1.347,3.02,136.58,0.3,n/a,,,,32.19,29.27,24.33,23.74,26.02,32,19.61,"Nov 17, 2026","May 22, 2025"
GOUR,Gourmet Egypt.Com Foods,Agriculture Production Livestock and Animal Specialties,17.29,6920000000.0,706753,12219759,2026-09-15,29.59,21.35,,,,,0.58,73.605,3240000000.0,52.831,233740000.0,88.995,7.21,,,1.811,0.468,1.29,,,Strong Buy,3,15.23,-11.91,,14.94,12.36,11.3,,19.15,8.5,"Nov 12, 2026","Jul 27, 2026"
ELEC,Electro Cable Egypt,Drawing and Insulating of Nonferrous Wire,1.98,6560000000.0,34623724,68554974,2026-09-15,,,1.8319,0.71396,,-2.93,-0.06,,9190000000.0,-36.315,-191940000.0,,-2.09,-5.06,6.18,2.968,2.69,,,-0.45,n/a,,,,-25.84,2.17,2.11,2.12,3.11,3.36,1.9,"Sep 20, 2026",n/a
ACAP,A Capital Holding,"Land Subdividers and Developers, Except Cemeteries",8.85,6470000000.0,2596817,22981830,2026-09-15,13.95,,4.02362,1.76679,,7.71,0.63,22.271,3660000000.0,114.54,499040000.0,19.211,13.63,,,1.509,0.939,,23.9,0.93,n/a,,,,94.08,9.01,9.08,7.74,8.27,10.55,4.07,"Nov 15, 2026",n/a
SPIN,Alexandria Spinning & Weaving Co.,Textile Mill Products,17.56,6330000000.0,671025,11783199,2026-09-15,1274.41,,8.40722,9.35722,,0.08,0.01,,676940000.0,-10.15,4970000.0,,0.73,0.66,1.33,0.53,0.331,0.23,,0.49,n/a,,,,69.34,16.2,14.01,14.22,9.99,21.88,9.52,"Sep 29, 2026",n/a
NINH,Nozha International Hospital,Hospitals,20.68,6200000000.0,762352,15765439,2026-09-15,36.87,,7.78434,11.30715,,2.71,0.56,21.938,548680000.0,12.703,168260000.0,25.879,30.67,26.04,11.31,0.006,-0.588,0.31,7.01,1.02,n/a,,,,194.67,21.99,17.35,10.132,8.309,26.46,6.461,"Nov 10, 2026","Apr 28, 2025"
SPHT,El Shams Pyramids Co. For Hotels & Touristic Projects S.A.E,Hotels and Motels,1.42,6190000000.0,,,2026-09-15,,,2.22518,,,-0.67,-0.45,,,,-41500000.0,,,-2.4,-0.04,0,-0.323,,,-0.1,n/a,,,,-44.31,1.91,1.91,1.91,1.91,2.5,1.23,"Nov 16, 2026",n/a
ARAB,Arab Developers Holding,"Land Subdividers and Developers, Except Cemeteries",0.252,6020000000.0,244147568,61525187,2026-09-15,29.95,,2.49169,3.7877,,1.61,0.01,-29.711,1590000000.0,-3.222,96910000.0,4.794,6.09,4.52,0.57,1.137,1.049,,24.84,-0.14,n/a,,,,32.63,0.245,0.21,0.222,0.211,0.284,0.173,"Nov 16, 2026",n/a
ENGC,Industrial Engineering Company for Construction and Development (ICON) (S.A.E.),Fabricated Structural Metal Products,41.12,5980000000.0,250125,10285140,2026-09-15,7.4,,1.58134,0.78154,,13.51,5.55,16.413,7660000000.0,17.35,808200000.0,8.59,10.55,34.39,15.19,0.541,0.506,2.79,20.28,0.36,n/a,,,,33.03,50.22,34.87,33,33.24,54.79,27.51,"Dec 21, 2026","May 6, 2025"
OCPH,October Pharma S.A.E,Pharmaceutical Preparations,239.33,5740000000.0,18969,4539851,2026-09-15,34.79,,8.65278,3.92949,,2.87,6.88,4.393,1460000000.0,22.508,165090000.0,11.727,11.31,28.29,16.6,0.64,0.537,0.5,11.06,0.67,n/a,,,,148.5,290,172.95,95.85,102.16,341.99,82.5,"Nov 12, 2026",n/a
SVCE,South Valley Cement Company,"Cement, Hydraulic",11.7,5640000000.0,7957780,93106026,2026-09-15,,,1.81863,2.04554,,-4.97,-1.0,,2760000000.0,97.914,-280270000.0,,-10.15,-8.62,1.32,0.62,0.599,,,0.47,n/a,,,,73.85,10.9,8.46,7.55,8.6,13.39,5.6,"Nov 26, 2026",n/a
WCDF,Middle & West Delta Flour Mills,Bakery Products,731.54,5490000000.0,11320,8281033,2026-09-15,11.22,,5.02638,1.94601,,8.91,65.17,10.785,2820000000.0,6.397,488810000.0,10.785,17.33,48.29,10.26,,-1.687,5.32,68.76,0.17,n/a,,,,56.13,630.79,507.59,505.37,479.81,796,450,"Nov 5, 2026","Oct 27, 2025"
CNFN,Contact Financial Holding S.A.E.,Personal Credit Institutions,4.56,5460000000.0,863206,3936219,2026-09-15,17.15,,1.16227,0.9322,,5.82,0.27,-51.142,5860000000.0,14.845,317560000.0,-50.933,5.42,9.77,2.59,2.058,1.371,5.24,19.34,0.36,n/a,,,,2.01,4.91,4.45,4.06,5.19,5.41,3.71,n/a,n/a
MICH,Misr Chemical Industries Co.,Chemicals and Allied Products,49.03,5380000000.0,164274,8054354,2026-09-15,11.18,,3.69702,4.88924,,8.95,4.39,-23.872,1100000000.0,12.978,481200000.0,-23.061,43.75,37.47,18.07,0.179,-0.081,7.67,90.8,-0.15,n/a,,,,45.36,47.6,36.94,35.5,28.98,53.9,25,"Sep 9, 2026","Nov 4, 2025"
KABO,El-Nasr Clothing & Textiles Co. (KABO),Apparel and Other Finished Products Made From Fabrics and Similar Materials,9.51,5370000000.0,5085756,48365540,2026-09-15,171.7,,5.19988,4.79125,,0.48,0.06,-80.102,1120000000.0,21.364,25740000.0,-80.102,2.3,2.36,-1.5,0.485,0.327,,15.37,0.51,n/a,,,,77.76,8.77,6.26,5.99,6.4,10.17,4.95,"Oct 5, 2026",n/a
AFMC,Alexandria Flour Mills,Miscellaneous Food Preparations And Kindred Products,160.4,5280000000.0,117655,18871862,2026-09-15,97.77,,18.91762,13.443,,1.02,1.64,6.902,392460000.0,13.519,53960000.0,6.902,13.75,19.49,2.36,,-0.619,0.42,92.27,0.27,n/a,,,,143.22,239,71.79,57.17,62.24,300,51.3,"Sep 23, 2026","Nov 10, 2025"
GSSC,General Co. For Silos & Storage,Farm-product Raw Materials,284.85,4980000000.0,17300,4927905,2026-09-15,31.12,,5.56998,2.5884,,3.21,9.15,24.145,1930000000.0,33.777,160210000.0,24.145,8.3,39.21,4.47,0.733,-0.439,1.52,19.88,0.65,n/a,,,,8.58,280.66,248.65,223.3,238.89,325,205.05,"Oct 22, 2026","Dec 17, 2025"
AMER,Amer Group Holding Company S.A.E.,Real Estate,5.52,4980000000.0,29064936,160438447,2026-09-15,29.4,,2.1343,2.92395,,3.4,0.19,280.499,1700000000.0,16.779,169530000.0,276.011,9.97,15.59,2.24,0.922,0.772,,,0.75,n/a,,,,338.1,6.5,2.66,1.84,2.26,8.47,1.16,"Nov 5, 2026",n/a
OFH,O B Financial Holding S.A.E,"Security and Commodity Brokers, Dealers, Exchanges, and Services",1.05,4860000000.0,69466508,72939833,2026-09-15,62.44,,1.56912,,,1.6,0.02,-83.625,,,77800000.0,-83.694,,2.54,-0.59,0.001,-0.267,,,0.19,n/a,,,,50.0,0.892,0.61,0.535,0.56,1.18,0.483,"Nov 23, 2026",n/a
DSCW,Dice For Ready-Made Garments (SAE),Apparel and Other Finished Products Made From Fabrics and Similar Materials,1.8,4820000000.0,8433949,15181108,2026-09-15,41.49,,3.34555,0.651,,2.41,0.04,-86.683,7410000000.0,19.433,116280000.0,-86.683,1.57,8.33,8.61,3.321,3.191,5.92,,0.23,n/a,,,,8.89,2.12,1.78,1.81,1.77,2.21,1.45,"Dec 2, 2026",n/a
MFSC,Egypt Free Shops Co.,"Retail Stores, Not Elsewhere Classified",49.04,4600000000.0,64759,3175781,2026-09-15,17.67,,9.22763,3.4341,,5.66,,,1340000000.0,1.626,260160000.00000003,-21.724,19.41,60.62,30.55,,-0.302,6.8,115.83,1.15,n/a,,,,49.6,49.4,46.01,31,34.28,65.6,25.3,"Sep 22, 2026","Oct 1, 2026"
UNIT,United Co. for Housing & Development - S.A.E.,"Land Subdividers and Developers, Except Cemeteries",19.72,4510000000.0,2100420,41420282,2026-09-15,18.45,,4.48948,11.81147,,5.49,1.07,61.226,381790000.0,27.045,247380000.0,59.239,64.79,27.23,5.65,0.375,-0.778,0.68,7.87,0.47,n/a,,,,90.72,20.18,13.82,9.85,10.73,23.95,8.22,"Aug 23, 2026","May 12, 2026"
SAIB,Société Arabe Internationale de Banque S.A.E,Commercial Banks,2.53,4340000000.0,15,38,2026-09-15,4.0,,0.20485,0.55084,,26.38,34.58,-0.866,7880000000.0,3.443,1140000000.0,-10.998,14.47,6.98,0.81,0.087,-1.193,20.45,84.51,0.19,n/a,,,,19.91,2.11,2.11,2.11,2.11,3.03,2.11,"Nov 12, 2026","Apr 12, 2026"
GDWA,Gadwa for Industrial Development,"Engineering, Accounting, Research, Management, and Related Services",0.77,4120000000.0,19928925,15345272,2026-09-15,,,0.86362,0.30233,,-8.78,-0.07,,13630000000.0,-28.423,-361800000.0,,-2.65,-10.51,5.26,2.604,2.355,,,0.7,n/a,,,,-44.84,0.807,0.79,0.78,1,1.73,0.733,"Nov 19, 2026",n/a
KZPC,Kafr El Zayat For Pesticides & Chemicals Co.(S.A.E),Agricultural Chemicals,14.2,4090000000.0,1494582,21223064,2026-09-15,,,5.96733,1.77525,,-2.2,-0.31,,2300000000.0,-41.345,-89960000.0,,-3.91,-10.11,5.44,2.944,2.833,2.93,,0.11,n/a,,,,50.14,10.48,8.867,8.4,8.5,16.74,7.333,"Aug 30, 2026","Sep 28, 2025"
CRST,Creast Mark For Contracting And Real Estate Development,"Water, Sewer, Pipeline, and Communications and Power Line Construction",3.6,4040000000.0,72000889,259203200,2026-09-15,131.98,,14.50229,45.8168,,0.44,0.03,-83.807,88200000.0,-68.612,17760000.0,-81.212,20.14,3.23,0.12,0.047,-0.261,,,0.58,n/a,,,,368.75,2.92,1.26,0.56,0.59,3.76,0.354,"Nov 12, 2026",n/a
ACGC,Arabia Cotton Ginning Company,Textile Mill Products,14.03,3960000000.0,7108873,99737488,2026-09-15,11.17,,1.19201,1.31282,,8.95,,,3020000000.0,-19.872,354900000.0,-24.417,11.75,14.41,2.74,0.35,0.077,1.7,14.71,-0.28,n/a,,,,80.59,11.25,8.63,7.306,8.296,16.09,6.426,"Nov 26, 2026",n/a
SDTI,SHARM DREAMS Co. for Touristic Investment S.A.E,Miscellaneous Amusement And Recreation,73.99,3920000000.0,144793,10713234,2026-09-15,24.58,,7.68406,9.79029,,4.07,3.01,37.953,400440000.0,30.803,159500000.0,50.918,39.83,45.79,7.64,3.288,3.202,,,-0.02,n/a,,,,327.19,72.7,47.52,38.5,25.61,77,16,"Nov 11, 2026",n/a
