symbol,date,price,trend,rsi,macdSignal,ma20,ma50,ma200,vsMa50Pct,vsMa200Pct,support,resistance,stopLoss,riskPct,high52,low52,fromHigh52Pct,atr,atrPct,volumeRatio
BINV,2026-08-13,49.24,صاعد قوي,58.0,هابط,48.58,47.83,40.76,3.0,20.8,47.93,50.25,46.97,4.6,50.25,27.98,-2.0,1.13,2.3,0.48
RAYA,2026-08-13,7.07,متذبذب,35.1,هابط,7.51,7.54,5.27,-6.2,34.2,6.94,7.4,6.68,5.5,8.29,2.67,-14.7,0.19,2.75,0.69
EGAL,2026-08-13,332.52,صاعد قوي,72.4,صاعد,305.03,302.15,264.23,10.1,25.8,309.45,338.0,303.26,8.8,338,152.01,-1.6,10.03,3.02,3.25
SAUD,2026-08-13,23.51,صاعد قوي,67.9,صاعد,22.26,21.88,18.82,7.4,24.9,22.2,24.79,21.76,7.4,24.79,12.2,-5.2,0.51,2.18,1.5
FWRY,2026-08-13,19.01,صاعد قوي,49.0,هابط,19.08,18.97,17.71,0.2,7.3,16.15,19.14,15.83,16.7,21.25,12.66,-10.5,0.39,2.04,0.68
BONY,2026-08-13,4.62,صاعد قوي,55.7,صاعد,4.51,4.58,3.87,0.8,19.5,4.59,5.27,4.34,6.1,5.27,3.21,-12.4,0.14,3.0,0.78
TMGH,2026-08-13,97.8,صاعد قوي,48.1,هابط,99.15,97.32,84.77,0.5,15.4,96.89,100.94,93.91,4.0,101.87,52.35,-4.0,1.95,1.99,0.66
ACAMD,2026-08-13,2.24,متذبذب,39.5,هابط,2.36,2.33,1.85,-3.9,21.1,2.2,2.28,2.11,5.8,2.46,0.87,-8.9,0.07,2.9,0.67
ADCI,2026-08-13,309.84,صاعد قوي,62.0,صاعد,276.36,248.91,205.07,24.5,51.1,246.0,,241.08,22.2,341.08,127,-9.2,28.16,9.09,1.83
FERC,2026-08-13,81.02,صاعد,57.6,صاعد,78.69,76.96,79.36,5.3,2.1,80.31,92.8,74.47,8.1,99.99,54.73,-19.0,3.28,4.04,4.39
GGCC,2026-08-13,1.01,صاعد قوي,60.1,صاعد,0.96,0.67,0.46,51.4,120.6,0.83,,0.81,19.8,1.2,0.32,-15.8,0.1,9.45,1.17
OCDI,2026-08-13,35.95,صاعد قوي,85.2,صاعد,29.72,26.09,20.89,37.8,72.1,28.5,37.92,27.93,22.3,61,14.74,-41.1,1.54,4.29,1.66
POUL,2026-08-13,39.3,صاعد قوي,55.6,صاعد,38.66,38.18,31.51,2.9,24.7,37.0,40.28,36.26,7.7,40.28,18.48,-2.4,1.1,2.8,0.81
RACC,2026-08-13,10.39,صاعد قوي,60.9,صاعد,10.14,10.01,9.22,3.8,12.7,10.29,11.64,10.01,3.7,11.64,7.15,-10.7,0.19,1.81,1.25
OBRI,2026-08-13,32.7,هابط,42.8,صاعد,33.64,34.58,33.1,-5.4,-1.2,31.45,37.79,30.44,6.9,42.4,10.66,-22.9,1.13,3.46,1.65
CANA,2026-08-13,42.77,صاعد قوي,73.8,صاعد,38.54,37.24,30.0,14.9,42.5,37.69,,36.94,13.6,42.77,15.08,0.0,1.49,3.49,1.82
CIRA,2026-08-13,38.23,صاعد قوي,70.1,صاعد,35.22,31.0,21.84,23.3,75.1,,,34.59,9.5,38.98,13.71,-1.9,1.82,4.76,1.24
TYCN,2026-08-13,13.86,متذبذب,32.0,هابط,17.99,21.42,12.23,-35.3,13.3,13.52,15.44,10.54,24.0,41.4,3.82,-66.5,1.66,11.99,0.5
GIHD,2026-08-13,67.1,صاعد قوي,71.8,صاعد,59.52,49.93,42.77,34.4,56.9,62.0,,56.38,16.0,68.5,30.8,-2.0,5.36,7.99,1.48
RREI,2026-08-13,4.43,صاعد قوي,54.4,هابط,4.37,3.91,3.07,13.2,44.2,3.72,4.98,3.65,17.6,4.98,2.1,-11.0,0.3,6.69,1.33
HRHO,2026-08-13,26.66,هابط قوي,44.8,صاعد,26.94,26.88,27.17,-0.8,-1.9,24.66,26.92,24.17,9.3,30.86,23.25,-13.6,0.52,1.93,0.71
EHDR,2026-08-13,2.99,صاعد قوي,60.0,صاعد,2.88,2.73,2.34,9.5,28.0,2.94,,2.77,7.4,3.1,1.75,-3.5,0.11,3.7,1.22
EFIH,2026-08-13,24.21,صاعد قوي,59.6,صاعد,23.27,22.21,19.8,9.0,22.3,23.36,,22.51,7.0,24.5,11.93,-1.2,0.85,3.51,1.71
JUFO,2026-08-13,27.2,صاعد قوي,69.9,صاعد,24.74,24.46,21.96,11.2,23.9,25.44,,24.93,8.3,27.2,16.26,0.0,1.04,3.82,1.2
EGCH,2026-08-13,14.42,صاعد قوي,65.7,صاعد,13.59,13.47,12.19,7.1,18.3,13.26,14.55,12.99,9.9,15.2,9.96,-5.1,0.43,2.99,1.93
DTPP,2026-08-13,299.93,صاعد قوي,71.7,صاعد,256.18,192.76,132.82,55.6,125.8,250.11,,245.11,18.3,316.1,76.93,-5.1,21.11,7.04,2.3
ORHD,2026-08-13,42.89,صاعد قوي,64.2,صاعد,40.74,39.24,29.61,9.3,44.9,39.14,,38.36,10.6,43.77,20.55,-2.0,1.33,3.11,0.63
CSAG,2026-08-13,41.95,صاعد قوي,81.2,صاعد,35.41,33.29,32.19,26.0,30.3,37.18,,36.44,13.1,42.48,25.89,-1.2,1.57,3.74,1.83
UBEE,2026-08-13,14.82,صاعد,74.2,صاعد,13.91,13.75,14.16,7.7,4.7,14.0,17.12,13.72,7.4,18.14,13.3,-18.3,0.35,2.36,1.88
PRDC,2026-08-13,8.83,صاعد قوي,49.1,هابط,9.35,8.16,5.28,8.2,67.1,8.75,10.15,8.08,8.5,10.15,3.08,-13.0,0.37,4.22,0.39
OFH,2026-08-13,0.89,صاعد قوي,77.7,صاعد,0.77,0.68,0.61,31.3,47.0,0.7,,0.69,22.5,0.91,0.49,-1.7,0.04,4.22,1.55
MTIE,2026-08-13,9.57,صاعد قوي,71.4,صاعد,8.46,7.98,6.8,20.0,40.8,8.16,,8.0,16.4,9.97,5.08,-4.1,0.44,4.55,2.18
GTWL,2026-08-13,133.35,صاعد قوي,75.0,صاعد,107.38,84.43,54.95,57.9,142.7,114.0,,111.72,16.2,133.35,34.67,0.0,9.13,6.85,2.29
PHAR,2026-08-13,143,صاعد قوي,65.9,صاعد,116.58,98.65,84.43,45.0,69.4,,,113.37,20.7,160.18,50.31,-10.7,14.81,10.36,4.17
ROTO,2026-08-13,50.9,صاعد قوي,76.4,صاعد,44.98,41.43,33.33,22.9,52.7,39.06,,38.28,24.8,50.9,25.06,0.0,1.8,3.54,1.18
LCSW,2026-08-13,33.48,صاعد قوي,50.2,هابط,34.59,30.95,27.14,8.2,23.4,31.02,36.82,28.76,14.1,36.82,23.44,-9.1,2.36,7.05,0.85
EASB,2026-08-13,7.22,صاعد قوي,50.6,هابط,7.38,6.98,4.33,3.4,66.7,6.98,8.14,6.57,9.0,8.5,2.76,-15.1,0.33,4.52,0.42
SWDY,2026-08-13,107.53,صاعد قوي,67.2,صاعد,99.57,92.34,82.79,16.5,29.9,89.56,108.42,87.77,18.4,110,65.52,-2.2,4.86,4.52,1.72
