strategy,stocks,medianReturn,meanReturn,medianCagr,avgMaxDrawdown,avgTrades,avgWinRate,avgTimeInMarket,beatBuyHold
شراء واحتفاظ,215,277.948225469729,444.3466063059966,30.462730000452652,-52.858257222648206,1,86.04651162790698,100.0,0.0
تقاطع ذهبي 50/200,215,145.9632624160129,235.63705237924353,19.7220236212196,-47.202568430295464,3.9395348837209303,51.803683737646,62.50613755849041,-131.9849630537161
فوق متوسط 200,215,131.3275967691582,231.12785448883704,18.262073487132156,-48.31938778980469,14.772093023255813,35.12973268808215,63.31589533782947,-146.6206287005708
MACD موجب,215,93.40871443573648,144.19390363611208,14.102512526692411,-43.99722688737607,37.55813953488372,41.33309483766252,49.334814317243854,-184.53951103399248
متوسط 200 + MACD,215,56.378784620028654,99.77732851729596,9.35422490720108,-38.811173469222794,31.888372093023257,39.33530566411506,30.15914973114416,-221.56944084970033
متوسط 200 + RSI<70,215,52.97078048281387,104.18024553582951,8.873377644078694,-45.69590502195956,33.753488372093024,55.861853016654734,49.72326143459599,-224.97744498691512
ارتداد RSI (30/55),215,17.782018115926633,26.96529679274773,3.3274706120432596,-30.000177609731516,6.706976744186046,71.17230189505071,20.686341969489472,-260.16620735380235
